name,description,website
WsCube Tech,"Wscube Tech is a professional IT company providing world-class web development, mobile app development, and digital marketing services.",https://www.wscubetech.com/
Briclay Tech,"It's time to switch to ""Free Service""🔍
#SabKuchMilegaWithDeliveryFreefree
Order from your favorites local shop or your go-to restaurant with Briclay, the app with benefits!
Order Now.",https://www.briclay.com/
EHAM,We empower you to #fullstack your tech career with Silicon Valley curriculum,http://www.eham.tech/
Briclay Tech,"It's time to switch to ""Free Service""🔍
#SabKuchMilegaWithDeliveryFreefree
Order from your favorites local shop or your go-to restaurant with Briclay, the app with benefits!
Order Now.",https://www.briclay.com/
Yarich Tech,Yarich Tech Manufacturers Products such as MosqClear And LockSure,https://yarichtech.com/
Tech Wire Asia,Where technology and business intersect,http://techwireasia.com/
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
Tech Circus,"Tech Circus is an independent company that produces educational events for the community of digital design, product & UX.",https://techcircus.io/
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
Tech Circus,"Tech Circus is an independent company that produces educational events for the community of digital design, product & UX.",https://techcircus.io/
Tetra Tech,"Tetra Tech is a leading, global provider of consulting and engineering services. We are differentiated by Leading with Science® to provide innovative technical solutions to our clients.",http://www.tetratech.com/
Tetra Tech,"Tetra Tech is a leading, global provider of consulting and engineering services. We are differentiated by Leading with Science® to provide innovative technical solutions to our clients.",http://www.tetratech.com/
Tech Circus,"Tech Circus is an independent company that produces educational events for the community of digital design, product & UX.",https://techcircus.io/
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
TLDR Newsletter,"TLDR is a daily newsletter with links and TLDRs of the most interesting stories in tech 📱, science 🚀, and coding 💻!",https://tldr.tech/
TLDR Newsletter,"TLDR is a daily newsletter with links and TLDRs of the most interesting stories in tech 📱, science 🚀, and coding 💻!",https://tldr.tech/
Tech Wire Asia,Where technology and business intersect,http://techwireasia.com/
Tech Circus,"Tech Circus is an independent company that produces educational events for the community of digital design, product & UX.",https://techcircus.io/
Minav Tech,"Minav Techs provides best services for Web Design, Web Development& Digital Marketing Course Training",https://minavtechs.com/
TLDR Newsletter,"TLDR is a daily newsletter with links and TLDRs of the most interesting stories in tech 📱, science 🚀, and coding 💻!",https://tldr.tech/
Tech Wire Asia,Where technology and business intersect,http://techwireasia.com/
Tech Circus,"Tech Circus is an independent company that produces educational events for the community of digital design, product & UX.",https://techcircus.io/
Minav Tech,"Minav Techs provides best services for Web Design, Web Development& Digital Marketing Course Training",https://minavtechs.com/
Veltech Deemed to be University,Veltech Deemed to be University,https://bit.ly/3ngXwlp
Streak,"Streak is a platform that enables traders to create, backtest and deploy trading algorithms live in the stock market, without coding.",https://www.streak.tech/
Tech Circus,"Tech Circus is an independent company that produces educational events for the community of digital design, product & UX.",https://techcircus.io/
Global tech gadgets,-,https://Gtgadget.in/
IE University,"Welcome to the official page of IE University undergraduate education
#goingtoIEU",http://www.ie.edu/
IE University,"Welcome to the official page of IE University undergraduate education
#goingtoIEU",http://www.ie.edu/
IE University,"Welcome to the official page of IE University undergraduate education
#goingtoIEU",http://www.ie.edu/
DAO EVTech,"Dao EV Tech is a smart electric mobility manufacturing startup with the mission to deliver reliable, high quality & innovative products through the ‘Make in India’ initiative with a mission to mature the EV industry in India

Ride Electric, Ride a Dao",http://www.daoev.com/
Fit-Tech,"Fit-Tech is more than just a brand, it is a community of people that are striving to better themselves, in the gym, outside of the gym, mentally and physically and persistently pursuing their potential. We are here to build Warriors.",http://www.fit-tech.shop/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech Mahindra SMART Academy for Digital Technologies,Welcome to the official Tech Mahindra SMART Academy for Digital Technologies Facebook page. Get all information about Digital Technology courses offered here.,https://www.smart-academy.in/
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
DAO EVTech,"Dao EV Tech is a smart electric mobility manufacturing startup with the mission to deliver reliable, high quality & innovative products through the ‘Make in India’ initiative with a mission to mature the EV industry in India

Ride Electric, Ride a Dao",http://www.daoev.com/
DAO EVTech,"Dao EV Tech is a smart electric mobility manufacturing startup with the mission to deliver reliable, high quality & innovative products through the ‘Make in India’ initiative with a mission to mature the EV industry in India

Ride Electric, Ride a Dao",http://www.daoev.com/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
MuscleTech India,-,https://www.muscletech.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
Nirmala Institutions,"Nirmala Institutions, one of the pioneers in higher education, embarked on its first venture in 1954 with the objective of moulding responsible citizens who could creatively contribute to the betterment of the society.",https://www.nirmalacollege.edu.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
Startechcorporation.in,"Certificate course,“Online Digital Marketing,” from XLRI Management Institute, Jamshedpur.",http://www.startechcorporation.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
Nirmala Institutions,"Nirmala Institutions, one of the pioneers in higher education, embarked on its first venture in 1954 with the objective of moulding responsible citizens who could creatively contribute to the betterment of the society.",https://www.nirmalacollege.edu.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
Startechcorporation.in,"Certificate course,“Online Digital Marketing,” from XLRI Management Institute, Jamshedpur.",http://www.startechcorporation.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
EGZOTech,"EGZOTech empowers physiotherapy through robots and electromyography. Our products enable superior neurorehabilitation to the most severe of neurological patients – stroke, spinal cord injuries, neurodegenerative diseases, and urinary incontinence.",https://egzotech.com/demo
Startechcorporation.in,"Certificate course,“Online Digital Marketing,” from XLRI Management Institute, Jamshedpur.",http://www.startechcorporation.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
YCS TechSoft,-,http://www.ycstech.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
College Vidya Technical,-,https://collegevidya.com/
FlowTech play,-,http://www.flowtechplay.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech Mahindra SMART Academy,Welcome to the official Tech Mahindra SMART Academy for Healthcare Facebook page. Your journey to become a SMART Paramedic begins here!,http://www.smart-academy.in/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
Tech Mahindra SMART Academy,Welcome to the official Tech Mahindra SMART Academy for Healthcare Facebook page. Your journey to become a SMART Paramedic begins here!,http://www.smart-academy.in/
MuscleTech India,-,https://www.muscletech.in/
YCS TechSoft,-,http://www.ycstech.in/
Startechcorporation.in,"Certificate course,“Online Digital Marketing,” from XLRI Management Institute, Jamshedpur.",http://www.startechcorporation.in/
Tech Mouse Club,An Online Education Club for web tech enthusiasts.,https://techmouseclub.com/
Nirmala Institutions,"Nirmala Institutions, one of the pioneers in higher education, embarked on its first venture in 1954 with the objective of moulding responsible citizens who could creatively contribute to the betterment of the society.",https://www.nirmalacollege.edu.in/
Fit-Tech,"Fit-Tech is more than just a brand, it is a community of people that are striving to better themselves, in the gym, outside of the gym, mentally and physically and persistently pursuing their potential. We are here to build Warriors.",http://www.fit-tech.shop/
TechMe.in,-,http://techme.in/
Tech Mahindra SMART Academy,Welcome to the official Tech Mahindra SMART Academy for Healthcare Facebook page. Your journey to become a SMART Paramedic begins here!,http://www.smart-academy.in/
College Vidya Technical,-,https://collegevidya.com/
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
"Vishwa Agro Tech, Silage, TMR and Organic Compost Production Unit","Vishwa AgroTech is a Greenfield MSME venture with business leadership in a diverse range of agri-based products. We are Proud brand owners of NutriRich Compost,  Animal feeds like NutriRich Silage, NutriRich TMR .",http://www.vishwaagrotech.com/
Tech It Out with Yang Zhao,"Science & Tech reporter, tracking China science programs
Love science, tech, space, documentary making",https://www.youtube.com/c/TechItOutwithYangZhao
Tech It Out with Yang Zhao,"Science & Tech reporter, tracking China science programs
Love science, tech, space, documentary making",https://www.youtube.com/c/TechItOutwithYangZhao
Tech House Pizza,-,https://open.spotify.com/playlist/1LXuV5g9D7aazxhPJHgzBW?si=a704cb0dc72c4740
"Vishwa Agro Tech, Silage, TMR and Organic Compost Production Unit","Vishwa AgroTech is a Greenfield MSME venture with business leadership in a diverse range of agri-based products. We are Proud brand owners of NutriRich Compost,  Animal feeds like NutriRich Silage, NutriRich TMR .",http://www.vishwaagrotech.com/
Tech It Out with Yang Zhao,"Science & Tech reporter, tracking China science programs
Love science, tech, space, documentary making",https://www.youtube.com/c/TechItOutwithYangZhao
Tech It Out with Yang Zhao,"Science & Tech reporter, tracking China science programs
Love science, tech, space, documentary making",https://www.youtube.com/c/TechItOutwithYangZhao
"Vishwa Agro Tech, Silage, TMR and Organic Compost Production Unit","Vishwa AgroTech is a Greenfield MSME venture with business leadership in a diverse range of agri-based products. We are Proud brand owners of NutriRich Compost,  Animal feeds like NutriRich Silage, NutriRich TMR .",http://www.vishwaagrotech.com/
"Vishwa Agro Tech, Silage, TMR and Organic Compost Production Unit","Vishwa AgroTech is a Greenfield MSME venture with business leadership in a diverse range of agri-based products. We are Proud brand owners of NutriRich Compost,  Animal feeds like NutriRich Silage, NutriRich TMR .",http://www.vishwaagrotech.com/
"Vishwa Agro Tech, Silage, TMR and Organic Compost Production Unit","Vishwa AgroTech is a Greenfield MSME venture with business leadership in a diverse range of agri-based products. We are Proud brand owners of NutriRich Compost,  Animal feeds like NutriRich Silage, NutriRich TMR .",http://www.vishwaagrotech.com/
AD-Tech It & Design Institute,Ad-tech Is Working Since 2008 With 15 Year Experience In IT And Designing Field.,https://www.adtechinstitute.com/
PinTech Digital,"PinTech Digital Solutions is a Leading Digital Marketing Agency. Actively Involved In SEO,SEM,EMAIL MARKETING,SMM etc....",https://www.pintechdigital.com/
GCS Computer Tech Pvt. Ltd Patiala,GCS Computer Tech Pvt. Ltd Patiala,http://www.gcspatiala.in/
Surana High Tech International School,"An upcoming IB School in collaboration with High Tech High, USA
2023-24 Admissions Open Now👩‍🎓",http://suranahightech.com/
AD-Tech It & Design Institute,Ad-tech Is Working Since 2008 With 15 Year Experience In IT And Designing Field.,https://www.adtechinstitute.com/
3DCAD Software,"Power your creativity with automation, collaboration, and machine-learning features of AutoCAD",https://consultkay.com/clients/techdata/
Prepfortech,We help working professionals prepare for tech interviews targeting software engineering roles at top product based companies.,https://prepfortech.in/
RadhaSai EduTech,Result Driven Coaching for IIT & Medical Entrance Exams,http://www.radhasai.com/
3DCAD Software,"Power your creativity with automation, collaboration, and machine-learning features of AutoCAD",https://consultkay.com/clients/techdata/
ITechGurus,"PMI® Authorized | Professional Coaching | Training Center | PMP® Training, PMI® ACP Agile, Scrum & Sixsigma® Training, Data 
Science Coaching, AI -Machine Learning | Corporate Training |",https://www.itechgurus.org/
M-Tech Metal Industries,M-Tech Metal is a Quality Manufacturer of Brass Ball Valves in Jamnagar Gujarat India.,http://www.m-techmetal.com/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
M-Tech Metal Industries,M-Tech Metal is a Quality Manufacturer of Brass Ball Valves in Jamnagar Gujarat India.,http://www.m-techmetal.com/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
STACG Hi-Tech Sr.Sec.School - Idaikal,STACG where we make teaching more lively and interesting with state of art facilities. Our academic programme is designed to empower students with creativity and imagination.We hope this will enable them to evolve into global citizens of tomorrow.,http://www.stacg.com/
Maxity-Tech Ltd,"Coordinamento Sicurezza nei Cantieri - Progettazione, Direzione Lavori e servizi integrati - Certificazione Energetica (certificatore CENED); Consulenza per privati e imprese",http://geometradavidetrevisani.blogspot.it/
IPL Tech Electric Pvt Ltd Part of Murugappa Group,Required Franchise for Heavy Duty Truck  EV Charging Station,https://www.ipltelectric.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
IPL Tech Electric Pvt Ltd Part of Murugappa Group,Required Franchise for Heavy Duty Truck  EV Charging Station,https://www.ipltelectric.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Hitachi High-Tech Analytical Science,"We're a global Hitachi Company offering a wide range of connected materials analysis solutions. We help our customers become more successful & sustainable by enabling more efficient and automated processes to ensure product quality, safety and compliance.",https://hha.hitachi-hightech.com/
Utec,"Utec by UltraTech is India’s first end-to-end home building platform. 
A one-stop-shop for all the solutions, services, and resources you will need on your home-building journey.",http://www.utecbuild.com/
Utec,"Utec by UltraTech is India’s first end-to-end home building platform. 
A one-stop-shop for all the solutions, services, and resources you will need on your home-building journey.",http://www.utecbuild.com/
Birla Institute of Technology,Welcome to the official Facebook page of BIT Mesra!,http://bitmesra.ac.in/
Birla Institute of Technology,Welcome to the official Facebook page of BIT Mesra!,http://bitmesra.ac.in/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
Utec,"Utec by UltraTech is India’s first end-to-end home building platform. 
A one-stop-shop for all the solutions, services, and resources you will need on your home-building journey.",http://www.utecbuild.com/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
Utec,"Utec by UltraTech is India’s first end-to-end home building platform. 
A one-stop-shop for all the solutions, services, and resources you will need on your home-building journey.",http://www.utecbuild.com/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
Vijaybhoomi University,"Vijaybhoomi University is India's first liberal university, which aspires to offer relevant and quality education and engage in high-quality research in engineering, business, law, science, and liberal arts.",https://vijaybhoomi.edu.in/
Birla Institute of Technology,Welcome to the official Facebook page of BIT Mesra!,http://bitmesra.ac.in/
Birla Institute of Technology,Welcome to the official Facebook page of BIT Mesra!,http://bitmesra.ac.in/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
Utec,"Utec by UltraTech is India’s first end-to-end home building platform. 
A one-stop-shop for all the solutions, services, and resources you will need on your home-building journey.",http://www.utecbuild.com/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
Utec,"Utec by UltraTech is India’s first end-to-end home building platform. 
A one-stop-shop for all the solutions, services, and resources you will need on your home-building journey.",http://www.utecbuild.com/
Design Crowdfunding Projects,"The hottest Kickstarter crowdfunding projects, curated. Like the page to get updates on trending new projects so you can snag the Early Bird Rewards!",http://jellop.com/
Vijaybhoomi University,"Vijaybhoomi University is India's first liberal university, which aspires to offer relevant and quality education and engage in high-quality research in engineering, business, law, science, and liberal arts.",https://vijaybhoomi.edu.in/
NumberOne Academy,"Transforming your life through Education.
Learn from anywhere & gain business skills with our Courses",https://www.numberone.academy/
Dunes Petrleum LLC,Leading MEP & HVAC Contractors in Oman,https://dunespetroleum.com/
SSV School,Shree Swani Vivenanad SSV School provides high-tech education with help of the experienced teachers,http://www.ssvschool.org.in/
Project1913 Hubs,"Coaches, Consultants, Course Creators, Entrepreneurs & Business Owners. Learn how to use Facebook™ Ads, Landing Pages & Funnels to generate leads & sales without paying huge agency fees, copywriters, techies or getting overwhelmed.",https://thefunnelthatsell.com/
Skyy Rider Institutions,Skyy Rider Institutions is the leading E-learning & skill Development Platform for engineering courses. We are catering in 7 countries & have trained over 2 Lakhs students. We offer more than 60 courses in different domains.,http://www.skyyrider.com/
leap.club,"a network built only for women. 

14000+ women are here—join them at www.leap.club",http://leap.club/
Achariya College of Engineering Technology,Achariya College of Engineering Technology,http://www.achariya.in/
